order_id,product_id,product_name,category,old_name,price,base_price,quantity,status,amount,region,priority,user_id
1001,P001,Wireless Mouse,Electronics,Customer A,599.0,500.0,2,Completed,1198.0,North,High,U001
1002,P002,Office Chair,Furniture,Customer B,4500.0,4000.0,1,Pending,4500.0,South,Low,U002
1003,P003,Bluetooth Speaker,Electronics,Customer C,1999.0,1700.0,1,Completed,1999.0,North,Medium,U003
1004,P004,Notebook Set,Stationery,Customer D,150.0,120.0,5,Completed,750.0,East,Low,U004
1005,P005,Gaming Laptop,Electronics,Customer E,75000.0,65000.0,1,Completed,75000.0,West,High,U005
1006,P006,Study Table,Furniture,Customer F,3200.0,2800.0,1,Cancelled,3200.0,South,Medium,
1007,P007,USB-C Cable,Electronics,Customer G,299.0,250.0,3,Completed,897.0,North,Low,U007
1008,P008,Desk Lamp,Furniture,Customer H,899.0,750.0,2,Pending,1798.0,East,Medium,U008
1009,P009,Smart Watch,Electronics,Customer I,8999.0,7800.0,1,Completed,8999.0,West,High,U009
1010,P010,Sketch Pens,Stationery,Customer J,99.0,80.0,10,Completed,990.0,North,Low,U010
1011,P011,4K Monitor,Electronics,Customer K,18999.0,16500.0,1,Completed,18999.0,South,High,U011
1012,P012,Bookshelf,Furniture,Customer L,2499.0,2100.0,1,Pending,2499.0,East,Low,
1013,P013,Keyboard,Electronics,Customer M,1299.0,1100.0,2,Completed,2598.0,North,Medium,U013
1014,P014,Whiteboard,Stationery,Customer N,1100.0,950.0,1,Cancelled,1100.0,West,Low,U014
1015,P015,External SSD,Electronics,Customer O,6499.0,5600.0,1,Completed,6499.0,South,High,U015
1016,P016,Office Desk,Furniture,Customer P,7800.0,6900.0,1,Completed,7800.0,North,Medium,U016
1017,P017,Power Bank,Electronics,Customer Q,1499.0,1250.0,2,Completed,2998.0,East,Low,U017
1018,P018,Highlighter Pack,Stationery,Customer R,199.0,160.0,4,Pending,796.0,West,Low,
1019,P019,Tablet,Electronics,Customer S,22999.0,19800.0,1,Completed,22999.0,South,High,U019
1020,P020,Filing Cabinet,Furniture,Customer T,5400.0,4700.0,1,Completed,5400.0,North,Medium,U020
